Filepath,File,Retrieved,Path_Length
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-8-6568657.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-8-6568657.png,"03/05/2020, 16:37:10",311
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-9-6568661.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-02-E-CxConstructionDocuments-General_UCSCEH&S_PAE-9-6568661.png,"03/05/2020, 16:37:10",311
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-03-E-CxConstructionDocuments-SimpleHvacSystems_UCSCEH&S_PAE-1-6568665.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-03-E-CxConstructionDocuments-SimpleHvacSystems_UCSCEH&S_PAE-1-6568665.png,"03/05/2020, 16:37:10",321
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-03-E-CxConstructionDocuments-SimpleHvacSystems_UCSCEH&S_PAE-2-6568669.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-03-E-CxConstructionDocuments-SimpleHvacSystems_UCSCEH&S_PAE-2-6568669.png,"03/05/2020, 16:37:10",321
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-1-6568673.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-1-6568673.png,"03/05/2020, 16:37:10",322
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-2-6568677.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-2-6568677.png,"03/05/2020, 16:37:10",322
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-3-6568681.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-3-6568681.png,"03/05/2020, 16:37:10",322
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-4-6568685.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-4-6568685.png,"03/05/2020, 16:37:10",322
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-5-6568689.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-5-6568689.png,"03/05/2020, 16:37:10",322
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-6-6568693.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-04-E-CxConstructionDocuments-ComplexHvacSystems_UCSCEH&S_PAE-6-6568693.png,"03/05/2020, 16:37:10",322
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-05-E-CxDesignReviewSignaturePage_UCSCEH&S_PAE-2-6568701.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-05-E-CxDesignReviewSignaturePage_UCSCEH&S_PAE-2-6568701.png,"03/05/2020, 16:37:10",307
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-05-E-CxDesignReviewSignaturePage_UCSCEHS_PAEPage001-6577888.png,UCSC_EHS-Central-R16_jmcclurg-2013-NRCC-CXR-05-E-CxDesignReviewSignaturePage_UCSCEHS_PAEPage001-6577888.png,"03/05/2020, 16:37:10",311
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-4101EHSLocalFireAuthority-AccessReviewsigned-6482443.png,UCSC_EHS-Central-R16_jmcclurg-4101EHSLocalFireAuthority-AccessReviewsigned-6482443.png,"03/05/2020, 16:37:10",290
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-AIACC-2013-GBC-Requirements-NonresidentialMandatoryMeasuresPage001-5368555.jpg,UCSC_EHS-Central-R16_jmcclurg-AIACC-2013-GBC-Requirements-NonresidentialMandatoryMeasuresPage001-5368555.jpg,"03/05/2020, 16:37:10",312
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-AIACC-2013-GBC-Requirements-NonresidentialMandatoryMeasuresPage002-5368570.jpg,UCSC_EHS-Central-R16_jmcclurg-AIACC-2013-GBC-Requirements-NonresidentialMandatoryMeasuresPage002-5368570.jpg,"03/05/2020, 16:37:10",312
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-000 - COVER SHEET.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-000 - COVER SHEET.pcp,"03/05/2020, 16:37:10",265
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-002 - CODE INFORMATION.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-002 - CODE INFORMATION.pcp,"03/05/2020, 16:37:10",270
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-003 - ARCHITECTURAL SITE PLAN.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-003 - ARCHITECTURAL SITE PLAN.pcp,"03/05/2020, 16:37:10",277
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-004 - EGRESS PLANS.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-004 - EGRESS PLANS.pcp,"03/05/2020, 16:37:10",266
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-005 - AREA PLANS.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-005 - AREA PLANS.pcp,"03/05/2020, 16:37:10",264
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-010 - CODE INFORMATION.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-010 - CODE INFORMATION.pcp,"03/05/2020, 16:37:10",270
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-011 - CODE INFORMATION.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-011 - CODE INFORMATION.pcp,"03/05/2020, 16:37:10",270
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-012 - CODE INFORMATION.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-012 - CODE INFORMATION.pcp,"03/05/2020, 16:37:10",270
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-020 - TITLE 24 DOCUMENTATION.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-020 - TITLE 24 DOCUMENTATION.pcp,"03/05/2020, 16:37:10",276
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-021 - TITLE 24 DOCUMENTATION.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-021 - TITLE 24 DOCUMENTATION.pcp,"03/05/2020, 16:37:10",276
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-022 - TITLE 24 DOCUMENTATION.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-022 - TITLE 24 DOCUMENTATION.pcp,"03/05/2020, 16:37:10",276
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-023 - TITLE 24 DOCUMENTATION.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-023 - TITLE 24 DOCUMENTATION.pcp,"03/05/2020, 16:37:10",276
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-030 - CALGREEN REQUIREMENTS.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-030 - CALGREEN REQUIREMENTS.pcp,"03/05/2020, 16:37:10",275
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-Sheet - G-031 - CALGREEN REQUIREMENTS.pcp,UCSC_EHS-Central-R16_jmcclurg-Sheet - G-031 - CALGREEN REQUIREMENTS.pcp,"03/05/2020, 16:37:10",275
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page001-6473285.png,UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page001-6473285.png,"03/05/2020, 16:37:10",302
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page002-6473358.png,UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page002-6473358.png,"03/05/2020, 16:37:10",302
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page003-6473481.png,UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page003-6473481.png,"03/05/2020, 16:37:10",302
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page004-6473484.png,UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page004-6473484.png,"03/05/2020, 16:37:10",302
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page005-6473706.png,UCSC_EHS-Central-R16_jmcclurg-UCSCEHSFacilityGroupHCBCRequirementsStorage_CD100Page005-6473706.png,"03/05/2020, 16:37:10",302
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-UCSC_Campus_bw-2881203.jpg,UCSC_EHS-Central-R16_jmcclurg-UCSC_Campus_bw-2881203.jpg,"03/05/2020, 16:37:10",260
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\01_GENERAL\UCSC_EHS-Central-R16_jmcclurg-UCSC_EHS-Central-R16_jmcclurg-6568709.png,UCSC_EHS-Central-R16_jmcclurg-UCSC_EHS-Central-R16_jmcclurg-6568709.png,"03/05/2020, 16:37:10",275
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\03_LANDSCAPE\P3204-L200-201 Grading\Architect\UCSC_EHS_ A _Background.dwg,UCSC_EHS_ A _Background.dwg,"03/05/2020, 16:37:10",266
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\03_LANDSCAPE\P3204-L200-201 Grading\PlotCfgs\8825 FULL scale (all BW).ctb,8825 FULL scale (all BW).ctb,"03/05/2020, 16:37:10",266
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\03_LANDSCAPE\P3204-L200-201 Grading\Title_Blocks\McCann signature_transparent for CAD.png,McCann signature_transparent for CAD.png,"03/05/2020, 16:37:10",282
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\03_LANDSCAPE\P3204-L200-201 Grading\Title_Blocks\Title Block_151012.dwg,Title Block_151012.dwg,"03/05/2020, 16:37:10",264
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\03_LANDSCAPE\P3204-L200-201 Grading\Title_Blocks\UCSC_EHS_jmcclurg-MHLogoSmall-1284019.tif,UCSC_EHS_jmcclurg-MHLogoSmall-1284019.tif,"03/05/2020, 16:37:10",283
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\03_LANDSCAPE\P3204-L200-201 Grading\Title_Blocks\WM_logo-address.dwg,WM_logo-address.dwg,"03/05/2020, 16:37:10",261
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\03_LANDSCAPE\P3204-L200-201 Grading\WalkerMacy\UCSC_EHS_L_Design.dwg,UCSC_EHS_L_Design.dwg,"03/05/2020, 16:37:10",261
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\03_LANDSCAPE\P3204-L200-201 Grading\WalkerMacy\UCSC_EHS_L_Grading.dwg,UCSC_EHS_L_Grading.dwg,"03/05/2020, 16:37:10",262
S:\Project Folders\Andrea Hilderman\4101 EHS Facility\F - Bid Documents and Contract Award\F5 - Drawings and Specifications.Bidding Documents.Addenda\Conformed Set\UCSC EHS - Conformed Set\CAD\04_ARCHITECTURAL\A-803 - REFLECTED CEILING PLANS- LOWER LEVEL & LEVEL 1.dwg,A-803 - REFLECTED CEILING PLANS- LOWER LEVEL & LEVEL 1.dwg,"03/05/2020, 16:37:10",268
